index,depth,label,chunk,source,set
61,61.5,,chunk_data/SVID/1cm/chunks/chunk_61.jpg,SVID,N/A
62,62.5,,chunk_data/SVID/1cm/chunks/chunk_62.jpg,SVID,N/A
63,63.5,2.7,chunk_data/SVID/1cm/chunks/chunk_63.jpg,SVID,Train
64,64.5,,chunk_data/SVID/1cm/chunks/chunk_64.jpg,SVID,N/A
65,65.5,,chunk_data/SVID/1cm/chunks/chunk_65.jpg,SVID,N/A
66,66.5,,chunk_data/SVID/1cm/chunks/chunk_66.jpg,SVID,N/A
67,67.5,1.8,chunk_data/SVID/1cm/chunks/chunk_67.jpg,SVID,Train
68,68.5,,chunk_data/SVID/1cm/chunks/chunk_68.jpg,SVID,N/A
69,69.5,,chunk_data/SVID/1cm/chunks/chunk_69.jpg,SVID,N/A
70,70.5,,chunk_data/SVID/1cm/chunks/chunk_70.jpg,SVID,N/A
71,71.5,3.0,chunk_data/SVID/1cm/chunks/chunk_71.jpg,SVID,Train
72,72.5,,chunk_data/SVID/1cm/chunks/chunk_72.jpg,SVID,N/A
73,73.5,,chunk_data/SVID/1cm/chunks/chunk_73.jpg,SVID,N/A
74,74.5,,chunk_data/SVID/1cm/chunks/chunk_74.jpg,SVID,N/A
75,75.5,2.6,chunk_data/SVID/1cm/chunks/chunk_75.jpg,SVID,Train
76,76.5,,chunk_data/SVID/1cm/chunks/chunk_76.jpg,SVID,N/A
77,77.5,,chunk_data/SVID/1cm/chunks/chunk_77.jpg,SVID,N/A
78,78.5,,chunk_data/SVID/1cm/chunks/chunk_78.jpg,SVID,N/A
79,79.5,2.7,chunk_data/SVID/1cm/chunks/chunk_79.jpg,SVID,Train
80,80.5,,chunk_data/SVID/1cm/chunks/chunk_80.jpg,SVID,N/A
81,81.5,,chunk_data/SVID/1cm/chunks/chunk_81.jpg,SVID,N/A
82,82.5,,chunk_data/SVID/1cm/chunks/chunk_82.jpg,SVID,N/A
83,83.5,2.9,chunk_data/SVID/1cm/chunks/chunk_83.jpg,SVID,Train
84,84.5,,chunk_data/SVID/1cm/chunks/chunk_84.jpg,SVID,N/A
85,85.5,,chunk_data/SVID/1cm/chunks/chunk_85.jpg,SVID,N/A
86,86.5,,chunk_data/SVID/1cm/chunks/chunk_86.jpg,SVID,N/A
87,87.5,2.7,chunk_data/SVID/1cm/chunks/chunk_87.jpg,SVID,Train
88,88.5,,chunk_data/SVID/1cm/chunks/chunk_88.jpg,SVID,N/A
89,89.5,,chunk_data/SVID/1cm/chunks/chunk_89.jpg,SVID,N/A
90,90.5,,chunk_data/SVID/1cm/chunks/chunk_90.jpg,SVID,N/A
91,91.5,2.6,chunk_data/SVID/1cm/chunks/chunk_91.jpg,SVID,Train
92,92.5,,chunk_data/SVID/1cm/chunks/chunk_92.jpg,SVID,N/A
93,93.5,,chunk_data/SVID/1cm/chunks/chunk_93.jpg,SVID,N/A
94,94.5,,chunk_data/SVID/1cm/chunks/chunk_94.jpg,SVID,N/A
95,95.5,2.5,chunk_data/SVID/1cm/chunks/chunk_95.jpg,SVID,Test
96,96.5,,chunk_data/SVID/1cm/chunks/chunk_96.jpg,SVID,N/A
97,97.5,,chunk_data/SVID/1cm/chunks/chunk_97.jpg,SVID,N/A
98,98.5,,chunk_data/SVID/1cm/chunks/chunk_98.jpg,SVID,N/A
99,99.5,2.0,chunk_data/SVID/1cm/chunks/chunk_99.jpg,SVID,Test
100,100.5,,chunk_data/SVID/1cm/chunks/chunk_100.jpg,SVID,N/A
101,101.5,,chunk_data/SVID/1cm/chunks/chunk_101.jpg,SVID,N/A
102,102.5,,chunk_data/SVID/1cm/chunks/chunk_102.jpg,SVID,N/A
103,103.5,,chunk_data/SVID/1cm/chunks/chunk_103.jpg,SVID,N/A
104,104.5,,chunk_data/SVID/1cm/chunks/chunk_104.jpg,SVID,N/A
105,105.5,,chunk_data/SVID/1cm/chunks/chunk_105.jpg,SVID,N/A
106,106.5,,chunk_data/SVID/1cm/chunks/chunk_106.jpg,SVID,N/A
107,107.5,2.7,chunk_data/SVID/1cm/chunks/chunk_107.jpg,SVID,Test
108,108.5,,chunk_data/SVID/1cm/chunks/chunk_108.jpg,SVID,N/A
109,109.5,,chunk_data/SVID/1cm/chunks/chunk_109.jpg,SVID,N/A
110,110.5,,chunk_data/SVID/1cm/chunks/chunk_110.jpg,SVID,N/A
111,111.5,2.6,chunk_data/SVID/1cm/chunks/chunk_111.jpg,SVID,Train
112,112.5,,chunk_data/SVID/1cm/chunks/chunk_112.jpg,SVID,N/A
113,113.5,,chunk_data/SVID/1cm/chunks/chunk_113.jpg,SVID,N/A
114,114.5,,chunk_data/SVID/1cm/chunks/chunk_114.jpg,SVID,N/A
115,115.5,2.7,chunk_data/SVID/1cm/chunks/chunk_115.jpg,SVID,Train
116,116.5,,chunk_data/SVID/1cm/chunks/chunk_116.jpg,SVID,N/A
117,117.5,,chunk_data/SVID/1cm/chunks/chunk_117.jpg,SVID,N/A
118,118.5,,chunk_data/SVID/1cm/chunks/chunk_118.jpg,SVID,N/A
119,119.5,2.7,chunk_data/SVID/1cm/chunks/chunk_119.jpg,SVID,Train
120,120.5,,chunk_data/SVID/1cm/chunks/chunk_120.jpg,SVID,N/A
121,121.5,,chunk_data/SVID/1cm/chunks/chunk_121.jpg,SVID,N/A
122,122.5,,chunk_data/SVID/1cm/chunks/chunk_122.jpg,SVID,N/A
123,123.5,2.6,chunk_data/SVID/1cm/chunks/chunk_123.jpg,SVID,Test
124,124.5,,chunk_data/SVID/1cm/chunks/chunk_124.jpg,SVID,N/A
125,125.5,,chunk_data/SVID/1cm/chunks/chunk_125.jpg,SVID,N/A
126,126.5,,chunk_data/SVID/1cm/chunks/chunk_126.jpg,SVID,N/A
127,127.5,2.9,chunk_data/SVID/1cm/chunks/chunk_127.jpg,SVID,Train
128,128.5,,chunk_data/SVID/1cm/chunks/chunk_128.jpg,SVID,N/A
129,129.5,,chunk_data/SVID/1cm/chunks/chunk_129.jpg,SVID,N/A
130,130.5,,chunk_data/SVID/1cm/chunks/chunk_130.jpg,SVID,N/A
131,131.5,2.8,chunk_data/SVID/1cm/chunks/chunk_131.jpg,SVID,Train
132,132.5,,chunk_data/SVID/1cm/chunks/chunk_132.jpg,SVID,N/A
133,133.5,,chunk_data/SVID/1cm/chunks/chunk_133.jpg,SVID,N/A
134,134.5,,chunk_data/SVID/1cm/chunks/chunk_134.jpg,SVID,N/A
135,135.5,2.6,chunk_data/SVID/1cm/chunks/chunk_135.jpg,SVID,Train
136,136.5,,chunk_data/SVID/1cm/chunks/chunk_136.jpg,SVID,N/A
137,137.5,,chunk_data/SVID/1cm/chunks/chunk_137.jpg,SVID,N/A
138,138.5,1.2,chunk_data/SVID/1cm/chunks/chunk_138.jpg,SVID,Train
139,139.5,,chunk_data/SVID/1cm/chunks/chunk_139.jpg,SVID,N/A
140,140.5,,chunk_data/SVID/1cm/chunks/chunk_140.jpg,SVID,N/A
141,141.5,,chunk_data/SVID/1cm/chunks/chunk_141.jpg,SVID,N/A
142,142.5,,chunk_data/SVID/1cm/chunks/chunk_142.jpg,SVID,N/A
143,143.5,,chunk_data/SVID/1cm/chunks/chunk_143.jpg,SVID,N/A
144,144.5,,chunk_data/SVID/1cm/chunks/chunk_144.jpg,SVID,N/A
145,145.5,2.7,chunk_data/SVID/1cm/chunks/chunk_145.jpg,SVID,Train
146,146.5,,chunk_data/SVID/1cm/chunks/chunk_146.jpg,SVID,N/A
147,147.5,,chunk_data/SVID/1cm/chunks/chunk_147.jpg,SVID,N/A
148,148.5,,chunk_data/SVID/1cm/chunks/chunk_148.jpg,SVID,N/A
149,149.5,2.7,chunk_data/SVID/1cm/chunks/chunk_149.jpg,SVID,Test
150,150.5,,chunk_data/SVID/1cm/chunks/chunk_150.jpg,SVID,N/A
151,151.5,,chunk_data/SVID/1cm/chunks/chunk_151.jpg,SVID,N/A
152,152.63540621865596,2.7,chunk_data/SVID/1cm/chunks/chunk_152.jpg,SVID,Train
153,153.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_153.jpg,SVID,N/A
154,154.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_154.jpg,SVID,N/A
155,155.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_155.jpg,SVID,N/A
156,156.63540621865596,2.6,chunk_data/SVID/1cm/chunks/chunk_156.jpg,SVID,Train
157,157.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_157.jpg,SVID,N/A
158,158.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_158.jpg,SVID,N/A
159,159.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_159.jpg,SVID,N/A
160,160.63540621865596,2.7,chunk_data/SVID/1cm/chunks/chunk_160.jpg,SVID,Train
161,161.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_161.jpg,SVID,N/A
162,162.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_162.jpg,SVID,N/A
163,163.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_163.jpg,SVID,N/A
164,164.63540621865596,2.6,chunk_data/SVID/1cm/chunks/chunk_164.jpg,SVID,Train
165,165.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_165.jpg,SVID,N/A
166,166.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_166.jpg,SVID,N/A
167,167.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_167.jpg,SVID,N/A
168,168.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_168.jpg,SVID,N/A
169,169.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_169.jpg,SVID,N/A
170,170.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_170.jpg,SVID,N/A
171,171.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_171.jpg,SVID,N/A
172,172.63540621865596,2.4,chunk_data/SVID/1cm/chunks/chunk_172.jpg,SVID,Train
173,173.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_173.jpg,SVID,N/A
174,174.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_174.jpg,SVID,N/A
175,175.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_175.jpg,SVID,N/A
176,176.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_176.jpg,SVID,N/A
177,177.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_177.jpg,SVID,N/A
178,178.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_178.jpg,SVID,N/A
179,179.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_179.jpg,SVID,N/A
180,180.63540621865596,2.3,chunk_data/SVID/1cm/chunks/chunk_180.jpg,SVID,Train
181,181.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_181.jpg,SVID,N/A
182,182.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_182.jpg,SVID,N/A
183,183.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_183.jpg,SVID,N/A
184,184.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_184.jpg,SVID,N/A
185,185.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_185.jpg,SVID,N/A
186,186.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_186.jpg,SVID,N/A
187,187.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_187.jpg,SVID,N/A
188,188.63540621865596,2.1,chunk_data/SVID/1cm/chunks/chunk_188.jpg,SVID,Test
189,189.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_189.jpg,SVID,N/A
190,190.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_190.jpg,SVID,N/A
191,191.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_191.jpg,SVID,N/A
192,192.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_192.jpg,SVID,N/A
193,193.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_193.jpg,SVID,N/A
194,194.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_194.jpg,SVID,N/A
195,195.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_195.jpg,SVID,N/A
196,196.63540621865596,1.6,chunk_data/SVID/1cm/chunks/chunk_196.jpg,SVID,Train
197,197.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_197.jpg,SVID,N/A
198,198.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_198.jpg,SVID,N/A
199,199.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_199.jpg,SVID,N/A
200,200.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_200.jpg,SVID,N/A
201,201.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_201.jpg,SVID,N/A
202,202.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_202.jpg,SVID,N/A
203,203.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_203.jpg,SVID,N/A
204,204.63540621865596,2.4,chunk_data/SVID/1cm/chunks/chunk_204.jpg,SVID,Train
205,205.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_205.jpg,SVID,N/A
206,206.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_206.jpg,SVID,N/A
207,207.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_207.jpg,SVID,N/A
208,208.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_208.jpg,SVID,N/A
209,209.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_209.jpg,SVID,N/A
210,210.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_210.jpg,SVID,N/A
211,211.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_211.jpg,SVID,N/A
212,212.63540621865596,2.1,chunk_data/SVID/1cm/chunks/chunk_212.jpg,SVID,Test
213,213.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_213.jpg,SVID,N/A
214,214.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_214.jpg,SVID,N/A
215,215.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_215.jpg,SVID,N/A
216,216.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_216.jpg,SVID,N/A
217,217.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_217.jpg,SVID,N/A
218,218.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_218.jpg,SVID,N/A
219,219.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_219.jpg,SVID,N/A
220,220.63540621865596,2.0,chunk_data/SVID/1cm/chunks/chunk_220.jpg,SVID,Train
221,221.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_221.jpg,SVID,N/A
222,222.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_222.jpg,SVID,N/A
223,223.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_223.jpg,SVID,N/A
224,224.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_224.jpg,SVID,N/A
225,225.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_225.jpg,SVID,N/A
226,226.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_226.jpg,SVID,N/A
227,227.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_227.jpg,SVID,N/A
228,228.63540621865596,2.2,chunk_data/SVID/1cm/chunks/chunk_228.jpg,SVID,Train
229,229.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_229.jpg,SVID,N/A
230,230.63540621865596,2.1,chunk_data/SVID/1cm/chunks/chunk_230.jpg,SVID,Test
231,231.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_231.jpg,SVID,N/A
232,232.63540621865596,2.2,chunk_data/SVID/1cm/chunks/chunk_232.jpg,SVID,Train
233,233.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_233.jpg,SVID,N/A
234,234.63540621865596,2.2,chunk_data/SVID/1cm/chunks/chunk_234.jpg,SVID,Train
235,235.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_235.jpg,SVID,N/A
236,236.63540621865596,2.2,chunk_data/SVID/1cm/chunks/chunk_236.jpg,SVID,Train
237,237.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_237.jpg,SVID,N/A
238,238.63540621865596,2.1,chunk_data/SVID/1cm/chunks/chunk_238.jpg,SVID,Train
239,239.63540621865596,1.7,chunk_data/SVID/1cm/chunks/chunk_239.jpg,SVID,Test
240,240.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_240.jpg,SVID,N/A
241,241.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_241.jpg,SVID,N/A
242,242.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_242.jpg,SVID,N/A
243,243.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_243.jpg,SVID,N/A
244,244.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_244.jpg,SVID,N/A
245,245.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_245.jpg,SVID,N/A
246,246.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_246.jpg,SVID,N/A
247,247.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_247.jpg,SVID,N/A
248,248.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_248.jpg,SVID,N/A
249,249.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_249.jpg,SVID,N/A
250,250.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_250.jpg,SVID,N/A
251,251.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_251.jpg,SVID,N/A
252,252.63540621865596,2.8,chunk_data/SVID/1cm/chunks/chunk_252.jpg,SVID,Train
253,253.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_253.jpg,SVID,N/A
254,254.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_254.jpg,SVID,N/A
255,255.63540621865596,,chunk_data/SVID/1cm/chunks/chunk_255.jpg,SVID,N/A
256,256.63540621865593,,chunk_data/SVID/1cm/chunks/chunk_256.jpg,SVID,N/A
257,257.63540621865593,,chunk_data/SVID/1cm/chunks/chunk_257.jpg,SVID,N/A
258,258.63540621865593,,chunk_data/SVID/1cm/chunks/chunk_258.jpg,SVID,N/A
259,259.63540621865593,,chunk_data/SVID/1cm/chunks/chunk_259.jpg,SVID,N/A
260,260.63540621865593,2.8,chunk_data/SVID/1cm/chunks/chunk_260.jpg,SVID,Train
261,261.63540621865593,,chunk_data/SVID/1cm/chunks/chunk_261.jpg,SVID,N/A
262,262.63540621865593,,chunk_data/SVID/1cm/chunks/chunk_262.jpg,SVID,N/A
263,263.63540621865593,,chunk_data/SVID/1cm/chunks/chunk_263.jpg,SVID,N/A
264,264.63540621865593,,chunk_data/SVID/1cm/chunks/chunk_264.jpg,SVID,N/A
265,265.63540621865593,,chunk_data/SVID/1cm/chunks/chunk_265.jpg,SVID,N/A
266,266.63540621865593,,chunk_data/SVID/1cm/chunks/chunk_266.jpg,SVID,N/A
267,267.63540621865593,,chunk_data/SVID/1cm/chunks/chunk_267.jpg,SVID,N/A
268,268.63540621865593,2.8,chunk_data/SVID/1cm/chunks/chunk_268.jpg,SVID,Train
269,269.63540621865593,,chunk_data/SVID/1cm/chunks/chunk_269.jpg,SVID,N/A
270,270.63540621865593,,chunk_data/SVID/1cm/chunks/chunk_270.jpg,SVID,N/A
271,271.63540621865593,,chunk_data/SVID/1cm/chunks/chunk_271.jpg,SVID,N/A
272,272.63540621865593,,chunk_data/SVID/1cm/chunks/chunk_272.jpg,SVID,N/A
273,273.63540621865593,,chunk_data/SVID/1cm/chunks/chunk_273.jpg,SVID,N/A
274,274.63540621865593,,chunk_data/SVID/1cm/chunks/chunk_274.jpg,SVID,N/A
275,275.63540621865593,,chunk_data/SVID/1cm/chunks/chunk_275.jpg,SVID,N/A
276,276.63540621865593,2.7,chunk_data/SVID/1cm/chunks/chunk_276.jpg,SVID,Train
277,277.63540621865593,,chunk_data/SVID/1cm/chunks/chunk_277.jpg,SVID,N/A
278,278.63540621865593,,chunk_data/SVID/1cm/chunks/chunk_278.jpg,SVID,N/A
279,279.63540621865593,,chunk_data/SVID/1cm/chunks/chunk_279.jpg,SVID,N/A
280,280.63540621865593,,chunk_data/SVID/1cm/chunks/chunk_280.jpg,SVID,N/A
281,281.63540621865593,,chunk_data/SVID/1cm/chunks/chunk_281.jpg,SVID,N/A
282,282.63540621865593,,chunk_data/SVID/1cm/chunks/chunk_282.jpg,SVID,N/A
283,283.63540621865593,,chunk_data/SVID/1cm/chunks/chunk_283.jpg,SVID,N/A
284,284.63540621865593,2.7,chunk_data/SVID/1cm/chunks/chunk_284.jpg,SVID,Train
285,285.63540621865593,,chunk_data/SVID/1cm/chunks/chunk_285.jpg,SVID,N/A
286,286.63540621865593,,chunk_data/SVID/1cm/chunks/chunk_286.jpg,SVID,N/A
287,287.63540621865593,,chunk_data/SVID/1cm/chunks/chunk_287.jpg,SVID,N/A
288,288.63540621865593,,chunk_data/SVID/1cm/chunks/chunk_288.jpg,SVID,N/A
289,289.63540621865593,,chunk_data/SVID/1cm/chunks/chunk_289.jpg,SVID,N/A
290,290.63540621865593,,chunk_data/SVID/1cm/chunks/chunk_290.jpg,SVID,N/A
291,291.63540621865593,,chunk_data/SVID/1cm/chunks/chunk_291.jpg,SVID,N/A
292,292.63540621865593,2.8,chunk_data/SVID/1cm/chunks/chunk_292.jpg,SVID,Train
293,293.63540621865593,,chunk_data/SVID/1cm/chunks/chunk_293.jpg,SVID,N/A
294,294.63540621865593,,chunk_data/SVID/1cm/chunks/chunk_294.jpg,SVID,N/A
295,295.63540621865593,,chunk_data/SVID/1cm/chunks/chunk_295.jpg,SVID,N/A
296,296.63540621865593,,chunk_data/SVID/1cm/chunks/chunk_296.jpg,SVID,N/A
297,297.63540621865593,,chunk_data/SVID/1cm/chunks/chunk_297.jpg,SVID,N/A
298,298.63540621865593,,chunk_data/SVID/1cm/chunks/chunk_298.jpg,SVID,N/A
299,299.63540621865593,,chunk_data/SVID/1cm/chunks/chunk_299.jpg,SVID,N/A
300,300.63540621865593,2.8,chunk_data/SVID/1cm/chunks/chunk_300.jpg,SVID,Train
301,301.63540621865593,,chunk_data/SVID/1cm/chunks/chunk_301.jpg,SVID,N/A
302,302.63540621865593,,chunk_data/SVID/1cm/chunks/chunk_302.jpg,SVID,N/A
303,303.63540621865593,,chunk_data/SVID/1cm/chunks/chunk_303.jpg,SVID,N/A
304,304.63540621865593,,chunk_data/SVID/1cm/chunks/chunk_304.jpg,SVID,N/A
305,305.8510531594784,,chunk_data/SVID/1cm/chunks/chunk_305.jpg,SVID,N/A
306,306.8510531594784,,chunk_data/SVID/1cm/chunks/chunk_306.jpg,SVID,N/A
